lang,variant,id,f0_ref_mean,f0_syn_mean,F1_ref,F1_syn,jitter_ref,jitter_syn,prec_ASR,rec_ASR,f1_ASR,pesq
en,original,en_krishna_001,130.0152201991487,127.28767844117463,511.22566637623044,588.8073655992006,0.027119396059852953,0.02360650946096351,0.0,1.0,0.0,1.023250937461853
en,original,en_krishna_002,137.3587478605036,120.99401543751215,526.4686427787362,556.71501800284,0.030604899820627706,0.024845868670365815,0.0,0.0,0.0,1.0455036163330078
en,original,en_krishna_003,137.98638114411776,119.2969852901998,533.0937409393122,600.2070760146302,0.037621467953278004,0.040862620783128974,0.0,0.0,0.0,1.0358392000198364
en,original,en_krishna_004,127.85485646709286,132.5420946973844,563.3712670244288,788.0081232998012,0.04412936929059398,0.04169247350782781,1.0,1.0,1.0,1.0416628122329712
en,original,en_krishna_005,126.34138229921462,119.70861979449225,534.9461458153238,663.1826877035206,0.03734334229800612,0.030516178901624297,1.0,1.0,1.0,1.03695809841156
en,original,en_krishna_006,134.20818072648194,114.63605038893688,542.3555580531537,707.6231406526864,0.029850057397832395,0.0316978029527839,1.0,1.0,1.0,1.0292942523956299
en,original,en_krishna_007,137.30171902239968,136.25625846824593,542.1000092987916,686.5279005470546,0.034405800134764714,0.038574659752909135,0.0,1.0,0.0,1.0296090841293335
en,original,en_krishna_008,130.3021188920137,139.88590006439046,555.2225542863085,823.9948608381583,0.03285418236940097,0.03398829411083571,0.0,1.0,0.0,1.0350353717803955
en,original,en_krishna_009,134.6469772192394,133.15407121109433,553.4490522906723,656.6890463885018,0.03490839453909301,0.029767190043765067,0.0,1.0,0.0,1.0489493608474731
en,original,en_krishna_010,130.05514332580648,116.73530736733963,637.3769828513222,625.2716113083328,0.02771057168545696,0.048632894315455776,0.0,1.0,0.0,1.0339834690093994
en,original,en_krishna_011,138.77734991205466,121.42677097696415,590.6857617944623,598.8843386111789,0.03087578463545893,0.018085372828455227,0.0,1.0,0.0,1.056563138961792
en,original,en_krishna_012,130.72527455643637,126.0455147851195,554.8022198642471,707.5245246720242,0.031667220879889796,0.02398938255351594,0.0,1.0,0.0,1.0944594144821167
en,original,en_krishna_013,135.92602728937882,142.40649150952197,733.6896717617335,740.5633724249958,0.04629819660136757,0.03677124055196149,1.0,1.0,1.0,1.0423723459243774
en,original,en_krishna_014,131.88086512157534,112.52038597603038,534.089301944979,784.7004617463142,0.032849087420324774,0.030031384616938238,0.0,0.0,0.0,1.0398024320602417
en,original,en_krishna_015,133.4974875585699,125.11043501917023,517.1443048860646,602.4303977824765,0.034892013214846224,0.030390799945526667,0.0,1.0,0.0,1.0302190780639648
en,original,en_krishna_016,131.06090289794963,124.01084002628438,578.7873567399972,623.7636510274424,0.02969153330661871,0.029828524719836585,1.0,1.0,1.0,1.0304404497146606
en,original,en_krishna_017,127.66963634384093,120.16690063056642,563.0141436379303,677.7183458582432,0.026450492160987625,0.028481833963365698,1.0,1.0,1.0,1.0645440816879272
en,original,en_krishna_018,126.77136430855755,140.70364308035602,591.0439451989179,747.4694561362946,0.039635315266162256,0.04056556376746867,0.0,1.0,0.0,1.0430397987365723
en,original,en_krishna_019,124.56631568483371,106.88477860260652,676.3938146771492,826.7683844936754,0.027760033024176,0.044214813058340796,0.0,1.0,0.0,1.0564793348312378
en,original,en_krishna_020,124.65072428036801,105.12108736985385,668.446851647775,725.2256541613071,0.034877344613002445,0.04127925517090543,0.0,1.0,0.0,1.0313936471939087
en,original,en_krishna_021,127.62356554522522,123.67070084627677,525.3005510705012,655.5633466007732,0.028858688178491257,0.027076607998564036,0.0,1.0,0.0,1.1042169332504272
en,original,en_krishna_022,130.26684289883752,131.40285091235697,561.9989003504437,865.4301277349113,0.02028415693397087,0.022765027930005885,0.0,1.0,0.0,1.0978583097457886
en,original,en_krishna_023,122.46771640246666,113.36575277941635,585.4415989749198,719.1349733855022,0.038659986618804425,0.02887111270825961,1.0,1.0,1.0,1.0364325046539307
en,original,en_krishna_024,126.73916531316915,120.01382734354091,606.4331891390533,695.7626728493095,0.04464785362254975,0.03606458974707988,0.0,1.0,0.0,1.0399070978164673
en,original,en_krishna_025,127.72101399181373,130.87545276052242,654.4608259675626,796.1966004863319,0.03935695215975593,0.03698556960487048,1.0,1.0,1.0,1.0527772903442383
en,original,en_krishna_026,134.6788156753646,131.95217387766223,647.3150829600278,723.335148550608,0.02830925199914828,0.018668789863669103,1.0,1.0,1.0,1.0300213098526
en,original,en_krishna_027,134.49494536513052,133.98675072909768,673.1184216639158,709.2550015793585,0.024051932789473766,0.026131404543394597,1.0,1.0,1.0,1.0354195833206177
en,original,en_krishna_028,132.14722190550395,126.6182011324409,762.4887246621686,584.1781838210958,0.03763450353334598,0.021156581604385674,0.0,1.0,0.0,1.0313538312911987
en,original,en_krishna_029,127.45942215240579,134.3804055755297,587.5807312089328,836.3872962167206,0.03295912320488338,0.021732962629063757,1.0,1.0,1.0,1.0254863500595093
en,original,en_krishna_030,132.9562396395693,127.6601925121739,662.2239654561118,634.4868577710646,0.0415920739183034,0.023866152395671372,1.0,1.0,1.0,1.0254021883010864
en,original,en_krishna_031,133.96332586662623,122.79453835494088,669.3763432760961,663.1812808271077,0.0336626148308788,0.02041448057223778,0.0,1.0,0.0,1.0353237390518188
en,original,en_krishna_032,138.59160728101224,123.85103877447823,616.4879905219311,710.5310090769719,0.035918093720577554,0.028861625940078912,0.0,1.0,0.0,1.028380036354065
en,original,en_krishna_033,138.50659602154676,117.28828824041894,571.9853651673386,774.4271479348401,0.024948563635908253,0.028117108319044085,1.0,1.0,1.0,1.046135663986206
en,original,en_krishna_034,133.36969579966512,115.51247550248543,1141.1512237786876,986.769897548432,0.03587333842692235,0.023772120005840516,1.0,1.0,1.0,1.0414742231369019
en,original,en_krishna_035,137.15859044478975,120.29795346741177,774.5346749631992,791.7454138913201,0.03294478647341841,0.02626118587378412,0.0,1.0,0.0,1.0328900814056396
en,original,en_krishna_036,132.23840329064512,140.66465905481746,778.4516527981542,928.2958060567088,0.0527078653315069,0.04036197355928038,0.0,1.0,0.0,1.0368895530700684
en,original,en_krishna_037,124.67919853028451,110.04978530424579,861.6562236739366,1009.8520329962664,0.062462309570579695,0.06334553011242365,1.0,1.0,1.0,1.039575457572937
en,original,en_krishna_038,124.07691496447836,111.8448162390404,624.0220465734787,916.4192413127553,0.04642587947599932,0.03526145709134545,1.0,1.0,1.0,1.0283770561218262
en,original,en_krishna_039,130.31837311698436,130.9299788570488,616.7973165348454,731.2907585802333,0.038410309305472186,0.01929481025165932,0.0,1.0,0.0,1.034010887145996
en,original,en_krishna_040,135.00983675869415,258.7815653721424,557.267382504233,956.4646373062983,0.039701446859989505,0.015754818834802134,0.0,1.0,0.0,1.1697752475738525
en,original,en_krishna_041,131.9208090707028,138.7628915746122,776.8932559076018,775.0221385689914,0.05130005593873884,0.034208059971142964,0.0,1.0,0.0,1.0313220024108887
en,original,en_krishna_042,132.51151542514575,129.97628627232197,599.3437607589551,683.2586031741157,0.036594898772046185,0.020108823660677955,0.0,1.0,0.0,1.077046513557434
en,original,en_krishna_043,132.71575035654206,137.41851827979107,660.5955387634457,727.8262368373995,0.04027921424171838,0.03302145058795846,0.0,0.0,0.0,1.0362963676452637
en,original,en_krishna_044,136.25536343241262,136.4178622367458,624.7622009263026,620.9496333465053,0.03752949602316327,0.02953809077854681,1.0,1.0,1.0,1.0542426109313965
en,original,en_krishna_045,121.79650115985095,104.8124891079795,696.3726157377897,866.4658916335424,0.04093924516795834,0.039692788125748245,0.0,1.0,0.0,1.0900444984436035
en,original,en_krishna_046,141.32113264681237,123.58908473902426,658.7278686515164,643.86276199617,0.029443446498932452,0.025539987850336822,0.0,1.0,0.0,1.0481873750686646
en,original,en_krishna_048,135.45275222193527,133.6027221833693,633.8215263825423,641.6801138008943,0.039205182614552164,0.025555306374624085,0.0,1.0,0.0,1.068142294883728
en,original,en_krishna_049,139.0517643919016,132.17197377266152,691.8809323580577,616.8858890341136,0.03976701566534456,0.027415899771802095,0.0,1.0,0.0,1.0718291997909546
en,original,en_krishna_050,134.68443401533375,129.82680317762387,657.9626334772249,702.3636349070872,0.039746769008902984,0.025858143499049992,1.0,1.0,1.0,1.0414379835128784
en,original,en_krishna_051,140.2515713699332,141.3847282274276,686.2626858649539,757.9961104286123,0.03222323661904925,0.028822307754487866,1.0,0.0,0.0,1.0832479000091553
en,original,en_krishna_052,144.61149669738347,127.79659923328352,500.8285141477925,884.1383649810083,0.037036195862893175,0.029668653393067394,1.0,1.0,1.0,1.0362290143966675
en,original,en_krishna_053,146.9846358401178,130.7189859899329,619.5033067155099,746.7604476129679,0.032524885072472594,0.02192451822885193,1.0,1.0,1.0,1.0367075204849243
en,original,en_krishna_054,134.8096220488041,139.74991462859197,697.312611055947,786.6267189958296,0.04299416636510959,0.02403817219346606,0.0,1.0,0.0,1.0572232007980347
en,original,en_krishna_055,142.02203965089342,128.10955303247223,602.6405208040361,740.362006123373,0.04071330316703691,0.03523847597682137,1.0,1.0,1.0,1.0254157781600952
en,original,en_krishna_056,134.7246472362219,117.80657068150664,630.9106091054672,809.033023624674,0.03378778108125299,0.05955202144658432,0.0,1.0,0.0,1.0428999662399292
en,original,en_krishna_057,140.51098167415236,130.97349009581592,559.1269591985061,718.4730503289508,0.026582449563058427,0.0198086496333875,1.0,0.0,0.0,1.0342075824737549
en,original,en_krishna_058,131.55119531259086,133.32043988769217,572.0385360107183,702.2783942964888,0.036444050623498855,0.024602342653858116,0.0,1.0,0.0,1.0278319120407104
en,original,en_krishna_059,144.29459751942048,144.99552059419392,712.6804018822828,628.1573756970866,0.03735811667359938,0.023077458732716893,0.0,1.0,0.0,1.0874357223510742
en,original,en_krishna_060,138.95521964835035,122.88949358653844,622.0620578216613,722.5983721236887,0.03093698526483132,0.022989498561849748,1.0,0.0,0.0,1.0344159603118896
en,original,en_krishna_061,133.819791157994,140.38945007529782,672.0317796319317,777.8797302783598,0.035173249216197196,0.023606134199537197,0.0,1.0,0.0,1.0207802057266235
en,original,en_krishna_062,125.07888644265714,116.3094398785527,668.2780906355629,754.465581133152,0.028845430527349798,0.04571190771556719,0.0,1.0,0.0,1.052682876586914
en,original,en_krishna_063,138.36852239159083,127.40299227745695,623.6300462767051,780.897004983479,0.03763183429601761,0.029074585435598828,0.0,1.0,0.0,1.0255569219589233
en,original,en_krishna_064,138.10395920063613,134.18421566659603,562.2520461080629,649.5714096898134,0.03394944522748332,0.02743303614785817,0.0,1.0,0.0,1.0388625860214233
en,original,en_krishna_065,138.21707487713223,131.19615990088388,527.8181149495841,603.0603469980183,0.02938915927757411,0.02480134713934729,0.0,1.0,0.0,1.033065915107727
en,original,en_krishna_066,146.87799243305253,141.4995869626329,705.5127158149584,883.5051015725996,0.046274903231019626,0.02895087781514421,0.0,1.0,0.0,1.1258682012557983
en,original,en_krishna_067,145.2737233511015,132.2912948632909,602.6907525177986,704.7101796389838,0.035198271654619605,0.020596327718519828,0.0,1.0,0.0,1.094672441482544
en,original,en_krishna_068,141.12564447884284,133.85896308069766,593.1817056710864,671.2833944437933,0.038026493177691786,0.023388601510778557,1.0,1.0,1.0,1.0244441032409668
en,original,en_krishna_069,135.3428474743683,123.9946799234078,659.445722308051,643.9667250321149,0.04006276955217299,0.02198770933487192,1.0,0.0,0.0,1.0312414169311523
en,original,en_krishna_070,139.87125052650597,128.31449857033854,611.9982276473947,629.1161202106803,0.03369311183391103,0.02484681592738884,1.0,1.0,1.0,1.0566085577011108
en,original,en_krishna_071,143.44434849409836,123.92916779769128,597.0154062243,651.7249986939305,0.03171282951460631,0.018859258517880288,1.0,0.0,0.0,1.067577600479126
en,original,en_krishna_072,136.56401573139655,126.50676786865624,594.8695147502186,755.941149055729,0.02536258658196449,0.04115855823851209,0.0,1.0,0.0,1.0399935245513916
en,original,en_krishna_073,132.8803681930277,123.41050688448065,509.20908677466497,622.6047785858734,0.025886679823719047,0.01965875303421508,0.0,1.0,0.0,1.0346065759658813
en,original,en_krishna_074,134.36624315513822,112.24928009826068,673.1309997167973,665.2921486574646,0.041565833152670185,0.029698011749021223,1.0,1.0,1.0,1.032796859741211
en,original,en_krishna_076,122.5342551535309,93.43318994210786,679.8763382640881,669.481807173745,0.03988697672402855,0.025965154764288817,1.0,1.0,1.0,1.0377514362335205
en,original,en_krishna_077,136.01330094813255,131.16780979418243,634.6876413214267,830.6182410986738,0.03560857281126064,0.034310240617046864,1.0,1.0,1.0,1.0242406129837036
en,original,en_krishna_078,131.38707189625893,134.15066832687876,560.812796310599,603.7388338433638,0.033116970891297524,0.026173246646115565,0.0,1.0,0.0,1.0303198099136353
en,original,en_krishna_079,141.57013307394985,143.5664994623721,604.3700324001329,756.3258670872927,0.02444533902055208,0.027878642011821712,0.0,1.0,0.0,1.0341436862945557
en,original,en_krishna_081,132.4800456151126,133.91204707101835,660.0285836100214,660.531869576344,0.02406583380413767,0.030495501757866653,1.0,1.0,1.0,1.0518102645874023
en,original,en_krishna_082,134.88553700956865,121.85764383417218,593.3360784433901,799.082604543644,0.03709399737583852,0.02419040839817637,0.0,0.0,0.0,1.030713438987732
en,original,en_krishna_083,133.9887298928844,120.3041773002377,528.8858788723805,698.8741066648955,0.025889758143222225,0.03352055281146228,0.0,1.0,0.0,1.022397518157959
en,original,en_krishna_084,139.27609593734044,131.81529829666195,539.4780770555095,761.0300970688758,0.03584074728781797,0.025015132615484867,1.0,0.0,0.0,1.0459293127059937
en,original,en_krishna_085,139.06340652549662,116.04012125229089,573.6529398649013,712.9278602520895,0.038366897167208404,0.03704451449992789,1.0,1.0,1.0,1.0393999814987183
en,original,en_krishna_086,129.83581339245424,116.13075195087518,587.6191793539817,637.5042883109663,0.039859259487321476,0.03013703047994853,0.0,0.0,0.0,1.0983500480651855
en,original,en_krishna_087,124.24852730492263,121.93800278151768,642.4887376852673,735.4006016055508,0.03574115315285091,0.03140642592748714,1.0,1.0,1.0,1.0426071882247925
en,original,en_krishna_088,128.91623710593709,127.67374818103298,566.1572604683124,746.0162263442571,0.0333365569592166,0.024646608065523115,0.0,1.0,0.0,1.0412213802337646
en,original,en_krishna_089,131.36283495539647,131.88555312956683,678.6457382112359,715.032628923507,0.04485387232799003,0.03766597571454918,1.0,1.0,1.0,1.0543837547302246
en,original,en_krishna_090,134.3093585293949,123.70480037696333,566.390941157196,614.6761392514159,0.0357758887069282,0.026648316726288906,0.0,1.0,0.0,1.048264980316162
en,original,en_krishna_091,141.32268715347928,132.95922974601902,521.1346547235777,600.5380435391656,0.0416011171294455,0.025860018035580766,1.0,1.0,1.0,1.0328669548034668
en,original,en_krishna_092,142.11123984357874,130.6957229329506,561.9994836717484,583.2379259459266,0.0389115254413316,0.030407289276440812,0.0,1.0,0.0,1.2479279041290283
en,original,en_krishna_093,132.1135749702822,120.2775697955825,512.5497094094936,618.6334958259971,0.0300663977226798,0.025602257983556087,0.0,1.0,0.0,1.164567470550537
en,original,en_krishna_094,133.50704292173506,138.62833064605005,539.4015445983778,665.9976758018487,0.029924678904589934,0.022867341432078386,0.0,1.0,0.0,1.0324641466140747
