epoch,train_loss,train_ArTop10Acc,tot_loss,tot_ArTop10Acc,valid_loss,valid_ArTop10Acc
1,2.52,0.004009,2.522,0.002908,,
2,2.532,0.00397,2.459,0.002908,2.431,0.002908
3,2.543,0.004256,2.453,0.002907,2.425,0.002908
4,2.443,0.004095,2.452,0.002903,,
5,2.474,0.003979,2.45,0.002904,2.419,0.002908
6,2.451,0.002645,2.452,0.0029,2.418,0.002908
7,2.41,0.002764,2.45,0.002892,,
8,2.461,0.002543,2.447,0.002899,2.415,0.002908
9,2.507,0.004028,2.444,0.002896,2.415,0.002908
10,2.493,0.004143,2.449,0.002912,,
11,2.359,0.002659,2.443,0.002898,2.414,0.002908
12,2.498,0.004264,2.444,0.002904,2.413,0.002908
13,2.438,0.00414,2.446,0.002895,,
14,2.411,0.001882,2.446,0.002892,2.411,0.002908
15,2.356,0.001842,2.443,0.002888,2.412,0.002908
16,2.43,0.001909,2.441,0.002895,,
17,2.325,0.001503,2.443,0.00289,2.411,0.002908
18,2.376,0.002565,2.442,0.002892,2.409,0.002908
19,2.323,0.001953,2.442,0.002895,,
20,2.361,0.001505,2.442,0.002883,2.408,0.002908
21,2.48,0.002681,2.443,0.002903,2.406,0.002908
22,2.488,0.003834,2.441,0.002897,,
23,2.336,0.00262,2.439,0.002895,2.408,0.002908
24,2.477,0.002501,2.437,0.002891,2.408,0.002908
25,2.479,0.002649,2.441,0.0029,,
26,2.485,0.002521,2.441,0.002891,2.406,0.002908
27,2.482,0.002809,2.441,0.002895,2.406,0.002908
28,2.485,0.004057,2.441,0.002903,,
29,2.434,0.001934,2.44,0.00289,2.408,0.002908
30,2.484,0.002598,2.439,0.0029,,
