epoch,train_loss,train_ArTop10Acc,train_NarTop10Acc,tot_loss,tot_ArTop10Acc,tot_NarTop10Acc,valid_loss,valid_ArTop10Acc,valid_NarTop10Acc
1,3.831,0.004009,0.001269,3.171,0.002908,0.00229,,,
2,3.178,0.00397,0.003048,3.089,0.002908,0.002466,3.075,0.002908,0.002211
3,2.976,0.004256,0.004044,3.008,0.002907,0.002449,2.968,0.002908,0.00242
4,3.078,0.004095,0.002174,2.932,0.002903,0.002523,,,
5,2.915,0.003979,0.00388,2.873,0.002904,0.002469,2.879,0.002908,0.002425
6,2.77,0.002645,0.002311,2.821,0.002901,0.002564,2.843,0.002908,0.002579
7,2.631,0.002764,0.002834,2.751,0.002892,0.002556,,,
8,2.818,0.002543,0.002569,2.713,0.002899,0.002643,2.782,0.002908,0.002579
9,2.712,0.004028,0.00278,2.677,0.002897,0.002633,2.746,0.002908,0.002684
10,2.801,0.004143,0.002262,2.626,0.002912,0.002635,,,
11,2.466,0.002659,0.002602,2.563,0.002899,0.002692,2.745,0.002908,0.002609
12,2.496,0.004264,0.003657,2.512,0.002904,0.002727,2.726,0.002908,0.002692
13,2.435,0.00414,0.002451,2.473,0.002895,0.00268,,,
14,2.36,0.001882,0.002905,2.426,0.002893,0.002693,2.748,0.002908,0.002693
15,2.261,0.001842,0.002471,2.377,0.002888,0.002735,2.743,0.002908,0.002791
16,2.499,0.001909,0.001592,2.3,0.002895,0.002731,,,
17,2.311,0.001503,0.001105,2.253,0.00289,0.002688,2.874,0.002908,0.002778
18,2.228,0.002565,0.002783,2.2,0.002892,0.002759,2.862,0.002908,0.002728
19,2.108,0.001953,0.001984,2.142,0.002895,0.002841,,,
20,2.203,0.001505,0.001515,2.083,0.002884,0.002798,3.014,0.002908,0.002845
21,2.081,0.002681,0.003032,2.039,0.002903,0.002894,3.004,0.002908,0.002792
22,2.0,0.003834,0.003235,1.996,0.002898,0.002823,,,
23,1.859,0.00262,0.002314,1.94,0.002895,0.002824,3.137,0.002908,0.002734
24,2.155,0.002501,0.001755,1.894,0.002891,0.00285,3.155,0.002908,0.0028
25,1.944,0.002649,0.00297,1.864,0.002901,0.002842,,,
26,2.018,0.002521,0.003088,1.819,0.002891,0.002832,3.337,0.002908,0.002912
27,1.805,0.002809,0.003074,1.79,0.002895,0.002862,3.317,0.002908,0.002863
28,1.768,0.004057,0.004229,1.75,0.002903,0.002889,,,
29,1.673,0.001934,0.002041,1.725,0.00289,0.002881,3.488,0.002908,0.002878
30,1.751,0.002598,0.002537,1.693,0.0029,0.002942,,,
